sample_index,sample_id,dataset_index,label,source_prediction_seed1701,source_prediction_seed2718,source_prediction_seed3141,source_prediction_seed5772,source_prediction_seed8119
40,dvs-test-00056,56,1,1,1,1,1,1
41,dvs-test-00059,59,3,3,3,3,3,3
42,dvs-test-00061,61,5,5,5,5,5,5
43,dvs-test-00063,63,7,7,7,7,7,7
44,dvs-test-00065,65,9,10,9,9,9,10
45,dvs-test-00066,66,0,0,0,0,0,0
46,dvs-test-00067,67,1,1,1,1,1,1
47,dvs-test-00068,68,10,10,10,10,9,9
48,dvs-test-00070,70,3,3,3,3,3,3
49,dvs-test-00072,72,5,5,5,5,5,5
50,dvs-test-00074,74,7,7,7,8,8,8
51,dvs-test-00076,76,9,10,9,9,9,10
52,dvs-test-00078,78,1,4,4,1,4,4
53,dvs-test-00080,80,2,5,6,5,5,5
54,dvs-test-00082,82,4,4,4,4,4,4
55,dvs-test-00083,83,5,5,5,5,5,10
56,dvs-test-00084,84,6,6,6,6,6,10
57,dvs-test-00085,85,7,7,7,7,7,7
58,dvs-test-00086,86,8,7,7,7,7,7
59,dvs-test-00088,88,0,0,0,0,0,0
60,dvs-test-00089,89,1,4,1,1,1,1
61,dvs-test-00090,90,10,10,4,10,10,10
62,dvs-test-00091,91,2,5,2,2,5,2
63,dvs-test-00092,92,3,3,3,3,3,3
64,dvs-test-00093,93,4,4,4,10,4,3
65,dvs-test-00094,94,5,5,5,5,5,5
66,dvs-test-00095,95,6,6,6,6,6,6
67,dvs-test-00097,97,8,7,7,8,8,7
68,dvs-test-00098,98,9,10,10,10,10,10
69,dvs-test-00099,99,0,0,0,0,0,0
70,dvs-test-00101,101,10,10,10,10,10,10
71,dvs-test-00103,103,3,3,3,3,3,3
72,dvs-test-00109,109,9,10,9,9,9,10
73,dvs-test-00113,113,2,2,2,2,2,2
74,dvs-test-00114,114,3,3,4,3,4,3
75,dvs-test-00118,118,7,7,7,7,7,7
76,dvs-test-00119,119,8,8,8,8,8,8
77,dvs-test-00120,120,9,9,9,9,9,9
78,dvs-test-00124,124,2,2,2,2,2,2
79,dvs-test-00128,128,6,6,6,6,6,6
80,dvs-test-00130,130,8,8,8,8,8,8
81,dvs-test-00132,132,0,0,0,0,0,0
82,dvs-test-00133,133,1,1,1,1,1,1
83,dvs-test-00135,135,2,2,2,2,2,2
84,dvs-test-00136,136,3,3,4,4,4,4
85,dvs-test-00137,137,4,4,4,4,4,4
86,dvs-test-00138,138,5,5,5,5,5,5
87,dvs-test-00141,141,8,8,8,8,8,8
88,dvs-test-00143,143,0,0,0,0,0,0
89,dvs-test-00144,144,1,1,1,1,1,1
90,dvs-test-00145,145,10,10,10,10,10,10
91,dvs-test-00146,146,2,2,2,2,2,2
92,dvs-test-00151,151,7,7,7,7,7,7
93,dvs-test-00155,155,1,1,1,1,1,1
94,dvs-test-00156,156,10,10,10,10,10,10
95,dvs-test-00159,159,4,4,4,4,4,4
96,dvs-test-00161,161,6,6,6,6,6,6
97,dvs-test-00162,162,7,7,7,7,7,7
98,dvs-test-00163,163,8,0,0,0,0,0
99,dvs-test-00164,164,9,9,9,9,9,10
100,dvs-test-00167,167,10,10,10,10,10,10
101,dvs-test-00170,170,4,4,4,4,4,4
102,dvs-test-00171,171,5,5,5,5,5,5
103,dvs-test-00172,172,6,6,6,6,6,6
104,dvs-test-00174,174,8,0,10,0,0,0
105,dvs-test-00175,175,9,9,9,9,9,10
106,dvs-test-00177,177,1,1,1,1,1,1
107,dvs-test-00178,178,10,10,10,10,10,10
108,dvs-test-00183,183,6,6,6,6,6,6
109,dvs-test-00184,184,7,7,7,7,7,7
110,dvs-test-00185,185,8,8,10,8,8,8
111,dvs-test-00188,188,1,1,1,1,1,1
112,dvs-test-00192,192,4,4,4,4,4,4
113,dvs-test-00193,193,5,5,5,5,5,5
114,dvs-test-00194,194,6,6,6,6,6,6
115,dvs-test-00195,195,7,7,7,7,7,7
116,dvs-test-00196,196,8,0,0,0,0,0
117,dvs-test-00197,197,9,9,9,9,9,10
118,dvs-test-00198,198,0,0,0,0,0,0
119,dvs-test-00200,200,10,10,10,10,10,10
120,dvs-test-00201,201,2,2,2,2,2,2
121,dvs-test-00203,203,4,4,4,4,4,4
122,dvs-test-00204,204,5,5,5,5,5,5
123,dvs-test-00207,207,8,7,0,7,7,7
124,dvs-test-00208,208,9,7,7,7,7,7
125,dvs-test-00209,209,0,2,0,0,0,0
126,dvs-test-00210,210,1,1,1,1,1,1
127,dvs-test-00211,211,10,10,9,9,9,9
128,dvs-test-00212,212,2,2,2,2,2,2
129,dvs-test-00213,213,3,3,3,3,3,3
130,dvs-test-00214,214,4,4,4,4,4,4
131,dvs-test-00216,216,6,6,6,6,6,6
132,dvs-test-00217,217,7,0,7,7,0,7
133,dvs-test-00218,218,8,8,8,8,8,8
134,dvs-test-00219,219,9,9,9,9,9,9
135,dvs-test-00221,221,1,1,1,1,1,1
136,dvs-test-00222,222,10,10,10,9,9,9
137,dvs-test-00223,223,2,2,2,2,2,2
138,dvs-test-00224,224,3,3,3,3,3,3
139,dvs-test-00225,225,4,4,4,4,4,4
140,dvs-test-00229,229,8,8,8,8,8,8
141,dvs-test-00232,232,1,1,1,1,1,1
142,dvs-test-00234,234,2,2,2,2,2,2
143,dvs-test-00236,236,4,4,4,4,4,4
144,dvs-test-00238,238,6,6,6,6,6,6
145,dvs-test-00239,239,7,7,7,7,7,7
146,dvs-test-00243,243,1,1,1,1,1,1
147,dvs-test-00244,244,10,10,10,9,9,10
148,dvs-test-00245,245,2,2,2,2,2,2
149,dvs-test-00250,250,7,7,7,7,7,7
150,dvs-test-00252,252,9,9,9,9,9,9
151,dvs-test-00253,253,0,0,0,0,0,0
152,dvs-test-00254,254,1,1,1,1,1,1
153,dvs-test-00255,255,10,10,10,9,10,10
154,dvs-test-00256,256,2,2,2,2,2,2
155,dvs-test-00259,259,5,5,5,5,5,5
156,dvs-test-00260,260,6,6,6,6,6,6
157,dvs-test-00261,261,7,7,7,7,7,7
158,dvs-test-00262,262,8,10,10,8,8,10
159,dvs-test-00263,263,9,9,9,9,9,9
