sample_index,sample_id,dataset_index,label,source_prediction_seed1701,source_prediction_seed2718,source_prediction_seed3141,source_prediction_seed5772,source_prediction_seed8119
246,shd-test-00666,666,12,13,13,12,12,13
247,shd-test-00667,667,16,16,16,16,16,16
248,shd-test-00668,668,4,4,4,4,4,4
249,shd-test-00670,670,17,0,0,14,14,0
250,shd-test-00671,671,8,8,8,8,8,8
251,shd-test-00673,673,5,9,5,5,5,5
252,shd-test-00674,674,0,0,0,0,0,0
253,shd-test-00675,675,13,12,13,13,12,9
254,shd-test-00682,682,3,10,14,10,14,10
255,shd-test-00684,684,18,18,18,18,18,18
256,shd-test-00689,689,3,3,14,3,14,14
257,shd-test-00692,692,18,16,18,18,18,18
258,shd-test-00698,698,4,4,4,4,19,4
259,shd-test-00699,699,6,6,6,6,6,6
260,shd-test-00709,709,5,5,5,5,5,5
261,shd-test-00715,715,11,11,11,11,11,11
262,shd-test-00717,717,3,3,14,3,3,14
263,shd-test-00722,722,6,6,6,6,6,6
264,shd-test-00723,723,10,3,10,3,10,10
265,shd-test-00728,728,3,14,3,14,14,14
266,shd-test-00730,730,10,14,10,10,14,10
267,shd-test-00737,737,6,16,6,6,6,6
268,shd-test-00738,738,17,17,17,17,17,17
269,shd-test-00744,744,0,0,0,0,0,0
270,shd-test-00745,745,0,0,0,0,0,0
271,shd-test-00755,755,1,9,19,19,19,9
272,shd-test-00758,758,0,0,10,0,10,0
273,shd-test-00760,760,19,4,4,1,19,4
274,shd-test-00761,761,0,0,0,0,14,0
275,shd-test-00765,765,9,9,9,9,9,9
276,shd-test-00766,766,15,15,15,15,15,15
277,shd-test-00770,770,15,15,2,15,2,2
278,shd-test-00771,771,4,4,4,4,4,4
279,shd-test-00774,774,8,8,8,8,8,8
280,shd-test-00776,776,6,6,6,16,6,6
281,shd-test-00778,778,19,5,5,5,19,5
282,shd-test-00779,779,12,12,12,12,12,12
283,shd-test-00784,784,7,7,7,7,7,7
284,shd-test-00786,786,7,9,7,7,5,13
285,shd-test-00787,787,15,15,15,15,15,15
286,shd-test-00790,790,5,7,15,15,15,7
287,shd-test-00792,792,6,6,6,6,6,6
288,shd-test-00793,793,18,18,18,18,18,18
289,shd-test-00794,794,13,5,5,5,5,5
290,shd-test-00796,796,5,5,5,5,5,5
291,shd-test-00798,798,12,12,12,12,12,12
292,shd-test-00802,802,7,7,7,7,7,7
293,shd-test-00803,803,9,9,9,9,19,9
294,shd-test-00804,804,1,1,1,1,1,1
295,shd-test-00806,806,5,5,5,18,5,5
296,shd-test-00807,807,15,15,15,15,15,15
297,shd-test-00809,809,0,0,0,0,0,0
298,shd-test-00810,810,1,9,9,19,19,19
299,shd-test-00812,812,7,7,7,7,7,7
300,shd-test-00816,816,10,10,10,10,10,9
301,shd-test-00818,818,19,19,19,19,19,1
302,shd-test-00823,823,11,11,11,18,13,13
303,shd-test-00828,828,16,16,16,16,16,16
304,shd-test-00831,831,19,13,13,13,13,13
305,shd-test-00832,832,2,2,2,2,2,2
306,shd-test-00834,834,12,12,12,12,12,12
307,shd-test-00835,835,17,3,14,14,14,14
308,shd-test-00836,836,13,13,13,13,19,13
309,shd-test-00839,839,1,1,13,1,19,9
310,shd-test-00841,841,17,17,17,17,17,17
311,shd-test-00842,842,11,11,11,11,11,11
312,shd-test-00846,846,13,13,13,12,13,13
313,shd-test-00848,848,17,17,17,17,17,0
314,shd-test-00852,852,0,17,17,17,17,0
315,shd-test-00855,855,4,4,4,4,4,4
316,shd-test-00857,857,18,18,18,18,18,18
317,shd-test-00858,858,15,15,15,15,15,15
318,shd-test-00859,859,3,3,3,3,3,3
319,shd-test-00862,862,2,14,10,14,14,14
320,shd-test-00864,864,12,12,12,12,12,12
321,shd-test-00869,869,2,10,14,10,10,10
322,shd-test-00872,872,1,9,19,19,19,9
323,shd-test-00875,875,18,18,18,18,18,18
324,shd-test-00876,876,6,6,6,6,6,6
325,shd-test-00880,880,0,0,0,0,0,0
326,shd-test-00881,881,17,17,10,14,14,14
327,shd-test-00882,882,16,14,14,14,14,14
328,shd-test-00883,883,2,2,2,2,2,2
329,shd-test-00890,890,19,13,13,13,14,13
330,shd-test-00895,895,18,18,18,18,18,18
331,shd-test-00896,896,4,4,4,4,4,4
332,shd-test-00898,898,1,9,13,19,19,9
333,shd-test-00905,905,10,10,10,10,10,10
334,shd-test-00906,906,19,19,19,19,19,9
335,shd-test-00910,910,2,2,2,2,2,2
336,shd-test-00916,916,14,14,4,19,14,10
337,shd-test-00921,921,11,11,11,11,11,11
338,shd-test-00922,922,10,10,10,10,10,10
339,shd-test-00924,924,16,16,6,16,6,6
340,shd-test-00925,925,15,15,15,15,15,15
341,shd-test-00929,929,10,10,10,10,19,14
342,shd-test-00931,931,8,8,8,8,8,8
343,shd-test-00933,933,18,18,18,18,18,18
344,shd-test-00934,934,18,18,18,18,18,18
345,shd-test-00936,936,1,9,19,19,19,9
346,shd-test-00938,938,7,7,7,7,7,7
347,shd-test-00945,945,7,0,13,12,13,12
348,shd-test-00948,948,14,14,14,14,14,14
349,shd-test-00949,949,10,14,14,10,14,14
350,shd-test-00957,957,6,6,6,6,6,6
351,shd-test-00958,958,10,10,10,10,10,10
352,shd-test-00960,960,17,14,14,14,14,0
353,shd-test-00963,963,14,14,14,14,14,14
354,shd-test-00964,964,11,11,11,11,11,18
355,shd-test-00967,967,8,8,8,8,8,8
356,shd-test-00968,968,10,10,10,10,10,10
357,shd-test-00972,972,18,18,18,18,18,18
358,shd-test-00976,976,12,12,12,12,12,12
359,shd-test-00977,977,2,3,2,8,8,14
360,shd-test-00981,981,10,10,10,10,10,10
361,shd-test-00982,982,2,14,14,14,14,14
362,shd-test-00986,986,5,9,18,18,18,18
363,shd-test-00987,987,10,10,10,10,10,10
364,shd-test-00988,988,4,4,4,4,4,4
365,shd-test-00990,990,17,17,17,17,17,17
366,shd-test-01001,1001,13,9,13,13,13,13
367,shd-test-01005,1005,7,7,7,7,7,7
368,shd-test-01008,1008,8,8,8,8,8,8
369,shd-test-01010,1010,0,10,10,0,10,0
370,shd-test-01011,1011,16,16,16,16,16,16
371,shd-test-01014,1014,19,19,19,19,19,19
372,shd-test-01018,1018,19,1,10,1,19,1
373,shd-test-01022,1022,3,3,14,3,14,14
374,shd-test-01029,1029,2,14,14,8,14,14
375,shd-test-01030,1030,3,3,3,3,3,3
376,shd-test-01037,1037,5,5,5,5,5,5
377,shd-test-01039,1039,12,12,13,12,12,13
378,shd-test-01042,1042,13,12,13,12,12,13
379,shd-test-01045,1045,6,6,6,6,6,6
380,shd-test-01047,1047,5,5,5,13,5,5
381,shd-test-01048,1048,5,9,5,5,5,9
382,shd-test-01053,1053,12,13,13,13,14,13
383,shd-test-01059,1059,10,10,10,10,10,10
384,shd-test-01060,1060,2,4,4,4,15,4
385,shd-test-01061,1061,6,6,6,6,6,6
386,shd-test-01066,1066,2,4,4,4,10,4
387,shd-test-01068,1068,17,14,2,17,14,2
388,shd-test-01069,1069,7,7,7,7,7,7
389,shd-test-01070,1070,4,4,4,4,4,4
390,shd-test-01071,1071,16,16,16,14,14,16
391,shd-test-01075,1075,10,10,10,10,10,10
392,shd-test-01076,1076,4,4,4,4,4,4
393,shd-test-01080,1080,1,19,19,19,19,19
394,shd-test-01081,1081,2,2,2,2,2,2
395,shd-test-01083,1083,14,14,14,14,14,0
396,shd-test-01084,1084,16,16,16,16,17,17
397,shd-test-01089,1089,14,14,14,14,14,14
398,shd-test-01090,1090,12,12,12,12,12,12
399,shd-test-01092,1092,4,3,4,4,4,4
400,shd-test-01094,1094,6,6,6,6,6,6
401,shd-test-01095,1095,6,16,6,6,16,6
402,shd-test-01101,1101,0,0,0,0,0,0
403,shd-test-01103,1103,2,2,2,2,2,2
404,shd-test-01105,1105,0,0,0,0,10,0
405,shd-test-01108,1108,10,10,10,10,10,10
406,shd-test-01109,1109,19,14,13,13,13,13
407,shd-test-01111,1111,11,11,11,11,11,11
408,shd-test-01113,1113,9,13,13,13,13,13
409,shd-test-01115,1115,14,4,4,4,14,4
410,shd-test-01119,1119,19,19,19,19,19,19
411,shd-test-01120,1120,12,12,7,12,12,12
412,shd-test-01121,1121,10,10,10,10,14,14
413,shd-test-01122,1122,6,6,6,6,6,6
414,shd-test-01123,1123,6,6,6,6,6,6
415,shd-test-01124,1124,17,17,17,17,17,2
416,shd-test-01127,1127,4,4,4,4,4,4
417,shd-test-01130,1130,18,18,18,18,18,18
418,shd-test-01131,1131,16,6,6,6,6,6
419,shd-test-01134,1134,11,11,11,11,11,11
420,shd-test-01139,1139,5,9,5,13,5,9
421,shd-test-01140,1140,1,9,9,9,19,9
422,shd-test-01141,1141,1,9,13,13,19,13
423,shd-test-01142,1142,4,4,4,4,4,4
424,shd-test-01143,1143,8,8,8,8,8,8
425,shd-test-01144,1144,11,11,11,11,13,13
426,shd-test-01147,1147,0,0,0,0,0,0
427,shd-test-01162,1162,18,18,18,18,18,18
428,shd-test-01163,1163,19,9,13,13,9,9
429,shd-test-01164,1164,6,6,6,6,6,6
430,shd-test-01165,1165,18,18,18,18,18,18
431,shd-test-01167,1167,16,16,16,16,16,16
432,shd-test-01168,1168,12,12,12,12,12,12
433,shd-test-01172,1172,19,9,13,9,13,9
434,shd-test-01180,1180,7,9,7,7,13,7
435,shd-test-01181,1181,8,8,8,8,8,8
436,shd-test-01182,1182,10,10,10,10,10,10
437,shd-test-01184,1184,10,10,10,10,10,10
438,shd-test-01185,1185,18,18,18,18,18,18
439,shd-test-01188,1188,15,3,2,2,2,0
440,shd-test-01190,1190,19,1,19,1,19,1
441,shd-test-01191,1191,5,5,5,5,5,5
442,shd-test-01194,1194,13,13,13,13,13,13
443,shd-test-01199,1199,16,16,16,16,16,16
444,shd-test-01200,1200,17,14,17,17,14,0
445,shd-test-01203,1203,18,18,18,18,18,18
446,shd-test-01215,1215,7,12,5,7,7,7
447,shd-test-01217,1217,3,3,3,3,3,3
448,shd-test-01218,1218,13,13,13,13,13,13
449,shd-test-01220,1220,3,8,3,3,3,3
450,shd-test-01224,1224,1,1,9,15,19,9
451,shd-test-01227,1227,11,4,4,4,4,4
452,shd-test-01229,1229,5,18,18,18,18,18
453,shd-test-01237,1237,2,2,2,2,2,2
454,shd-test-01238,1238,3,3,14,14,14,14
455,shd-test-01242,1242,18,18,18,18,18,18
456,shd-test-01244,1244,19,4,5,19,19,5
457,shd-test-01246,1246,12,12,12,12,12,12
458,shd-test-01249,1249,7,7,7,7,7,7
459,shd-test-01251,1251,7,7,7,7,7,7
460,shd-test-01253,1253,3,14,14,14,14,14
461,shd-test-01256,1256,7,7,7,7,7,7
462,shd-test-01258,1258,7,9,7,7,7,7
463,shd-test-01260,1260,11,11,11,11,11,11
464,shd-test-01262,1262,8,8,8,8,8,8
465,shd-test-01263,1263,7,7,7,7,9,7
466,shd-test-01264,1264,16,16,16,16,16,16
467,shd-test-01265,1265,10,14,14,14,10,14
468,shd-test-01266,1266,15,15,15,15,15,15
469,shd-test-01267,1267,15,15,15,15,15,15
470,shd-test-01269,1269,14,14,14,14,14,14
471,shd-test-01270,1270,3,3,3,3,3,3
472,shd-test-01273,1273,4,4,4,4,4,4
473,shd-test-01274,1274,12,13,13,13,13,13
474,shd-test-01278,1278,17,17,17,17,17,17
475,shd-test-01286,1286,4,4,4,4,4,4
476,shd-test-01287,1287,19,9,13,9,9,9
477,shd-test-01288,1288,16,16,16,16,16,16
478,shd-test-01289,1289,16,16,14,16,16,16
479,shd-test-01291,1291,10,10,14,15,10,14
480,shd-test-01293,1293,16,16,16,16,16,16
481,shd-test-01296,1296,16,16,14,16,14,8
482,shd-test-01299,1299,0,0,0,0,0,0
483,shd-test-01303,1303,9,9,9,9,9,13
484,shd-test-01306,1306,9,9,13,9,13,13
485,shd-test-01307,1307,10,10,10,10,10,10
486,shd-test-01309,1309,10,10,10,10,10,10
487,shd-test-01312,1312,19,13,13,9,13,13
488,shd-test-01313,1313,15,4,4,15,15,4
489,shd-test-01314,1314,12,12,16,16,12,13
490,shd-test-01317,1317,17,17,14,17,17,17
491,shd-test-01318,1318,12,12,13,12,11,13
492,shd-test-01319,1319,9,9,13,9,9,9
493,shd-test-01320,1320,7,7,7,12,7,7
494,shd-test-01322,1322,8,8,8,8,8,8
495,shd-test-01323,1323,14,14,13,14,14,14
496,shd-test-01325,1325,18,18,18,18,18,18
497,shd-test-01330,1330,3,3,14,14,14,14
498,shd-test-01331,1331,6,6,6,6,6,6
499,shd-test-01332,1332,12,12,12,12,12,12
500,shd-test-01333,1333,2,15,10,15,15,4
501,shd-test-01338,1338,6,6,6,6,6,6
502,shd-test-01343,1343,10,0,10,0,10,0
503,shd-test-01344,1344,13,9,5,5,19,13
504,shd-test-01345,1345,14,14,14,14,14,14
505,shd-test-01346,1346,4,4,4,4,4,4
506,shd-test-01349,1349,11,11,11,11,11,11
507,shd-test-01351,1351,2,10,10,2,10,0
508,shd-test-01352,1352,17,17,3,17,17,17
509,shd-test-01355,1355,3,3,3,3,3,3
510,shd-test-01356,1356,8,8,8,8,8,8
511,shd-test-01357,1357,17,17,17,17,17,17
512,shd-test-01358,1358,2,2,2,2,2,2
513,shd-test-01360,1360,1,9,9,9,19,9
514,shd-test-01361,1361,7,12,7,12,7,12
515,shd-test-01368,1368,1,9,9,19,19,9
516,shd-test-01371,1371,14,14,14,14,14,14
517,shd-test-01373,1373,10,10,10,10,10,10
518,shd-test-01377,1377,8,8,8,8,8,8
519,shd-test-01379,1379,15,15,15,15,15,15
520,shd-test-01380,1380,7,7,13,7,7,13
521,shd-test-01385,1385,17,3,10,17,17,17
522,shd-test-01387,1387,3,3,3,3,3,3
523,shd-test-01389,1389,0,0,0,0,0,0
524,shd-test-01390,1390,4,4,4,4,4,4
525,shd-test-01395,1395,9,9,13,13,13,13
526,shd-test-01396,1396,14,14,14,14,14,14
527,shd-test-01406,1406,6,6,6,6,6,6
528,shd-test-01408,1408,7,7,7,7,7,7
529,shd-test-01409,1409,13,9,13,13,9,13
530,shd-test-01410,1410,19,9,9,9,19,9
531,shd-test-01412,1412,11,8,8,11,8,11
532,shd-test-01415,1415,15,15,15,15,15,15
533,shd-test-01420,1420,19,14,13,13,19,9
534,shd-test-01422,1422,9,9,9,9,19,13
535,shd-test-01424,1424,1,9,9,9,19,1
536,shd-test-01425,1425,17,17,14,17,14,14
537,shd-test-01427,1427,13,5,5,5,5,5
538,shd-test-01428,1428,0,0,10,0,10,0
539,shd-test-01431,1431,11,11,11,11,11,11
540,shd-test-01432,1432,18,18,18,18,18,18
541,shd-test-01435,1435,9,9,5,13,19,13
542,shd-test-01439,1439,14,14,14,14,14,14
543,shd-test-01442,1442,17,17,17,17,17,17
544,shd-test-01445,1445,4,4,4,4,19,4
545,shd-test-01446,1446,5,9,5,9,9,9
546,shd-test-01449,1449,9,9,9,9,9,9
547,shd-test-01451,1451,12,16,16,16,16,12
548,shd-test-01455,1455,0,0,0,0,0,0
549,shd-test-01459,1459,11,11,11,11,11,11
550,shd-test-01462,1462,15,15,15,15,15,4
551,shd-test-01465,1465,10,10,10,10,10,10
552,shd-test-01469,1469,16,17,16,16,16,17
553,shd-test-01470,1470,6,6,6,6,6,16
554,shd-test-01473,1473,14,14,14,14,14,14
555,shd-test-01476,1476,10,10,10,10,10,10
556,shd-test-01479,1479,4,4,4,4,4,4
557,shd-test-01480,1480,11,11,11,11,11,13
558,shd-test-01482,1482,15,15,15,15,15,15
559,shd-test-01483,1483,16,14,14,14,14,14
560,shd-test-01484,1484,12,12,7,12,12,12
561,shd-test-01487,1487,0,17,0,0,0,0
562,shd-test-01488,1488,15,15,8,15,15,15
563,shd-test-01489,1489,4,4,4,4,19,4
564,shd-test-01492,1492,7,7,7,7,7,7
565,shd-test-01493,1493,1,19,19,19,19,19
566,shd-test-01494,1494,15,15,15,15,15,15
567,shd-test-01497,1497,13,9,13,13,9,9
