variant,sample_index,rtl_prediction,golden_prediction,match
unrepaired,101,15,15,1
unrepaired,102,10,10,1
unrepaired,103,6,6,1
unrepaired,104,15,15,1
unrepaired,105,15,15,1
unrepaired,106,15,15,1
unrepaired,107,2,2,1
unrepaired,108,1,1,1
unrepaired,109,5,5,1
unrepaired,110,2,2,1
unrepaired,111,1,1,1
unrepaired,112,15,15,1
unrepaired,113,2,2,1
unrepaired,114,15,15,1
unrepaired,115,15,15,1
unrepaired,116,10,10,1
unrepaired,117,2,2,1
unrepaired,118,6,6,1
unrepaired,119,8,8,1
unrepaired,120,2,2,1
unrepaired,121,15,15,1
unrepaired,122,2,2,1
unrepaired,123,4,4,1
unrepaired,124,15,15,1
unrepaired,125,2,2,1
unrepaired,126,15,15,1
unrepaired,127,6,6,1
unrepaired,128,10,10,1
unrepaired,129,10,10,1
unrepaired,130,2,2,1
unrepaired,131,1,1,1
unrepaired,132,6,6,1
unrepaired,133,2,2,1
unrepaired,134,2,2,1
unrepaired,135,15,15,1
unrepaired,136,2,2,1
unrepaired,137,2,2,1
unrepaired,138,6,6,1
unrepaired,139,15,15,1
unrepaired,140,6,6,1
unrepaired,141,10,10,1
unrepaired,142,6,6,1
unrepaired,143,6,6,1
unrepaired,144,1,1,1
unrepaired,145,2,2,1
unrepaired,146,19,19,1
unrepaired,147,16,16,1
unrepaired,148,2,2,1
unrepaired,149,2,2,1
unrepaired,150,8,8,1
unrepaired,151,15,15,1
unrepaired,152,10,10,1
unrepaired,153,15,15,1
unrepaired,154,2,2,1
unrepaired,155,15,15,1
unrepaired,156,6,6,1
unrepaired,157,2,2,1
unrepaired,158,2,2,1
unrepaired,159,2,2,1
unrepaired,160,10,10,1
unrepaired,161,2,2,1
unrepaired,162,10,10,1
unrepaired,163,15,15,1
unrepaired,164,15,15,1
unrepaired,165,2,2,1
unrepaired,166,6,6,1
unrepaired,167,15,15,1
unrepaired,168,2,2,1
unrepaired,169,4,4,1
unrepaired,170,5,5,1
unrepaired,171,15,15,1
unrepaired,172,15,15,1
unrepaired,173,5,5,1
unrepaired,174,1,1,1
unrepaired,175,2,2,1
unrepaired,176,15,15,1
unrepaired,177,2,2,1
unrepaired,178,2,2,1
unrepaired,179,2,2,1
unrepaired,180,16,16,1
unrepaired,181,15,15,1
unrepaired,182,6,6,1
unrepaired,183,6,6,1
unrepaired,184,10,10,1
unrepaired,185,4,4,1
unrepaired,186,2,2,1
unrepaired,187,9,9,1
unrepaired,188,6,6,1
unrepaired,189,15,15,1
unrepaired,190,6,6,1
unrepaired,191,1,1,1
unrepaired,192,2,2,1
unrepaired,193,2,2,1
unrepaired,194,2,2,1
unrepaired,195,6,6,1
unrepaired,196,19,19,1
unrepaired,197,15,15,1
unrepaired,198,2,2,1
unrepaired,199,8,8,1
unrepaired,200,4,4,1
unrepaired,201,19,19,1
unrepaired,202,15,15,1
unrepaired,203,2,2,1
unrepaired,204,15,15,1
unrepaired,205,10,10,1
unrepaired,206,10,10,1
unrepaired,207,1,1,1
unrepaired,208,6,6,1
unrepaired,209,2,2,1
unrepaired,210,6,6,1
unrepaired,211,4,4,1
unrepaired,212,2,2,1
unrepaired,213,2,2,1
unrepaired,214,15,15,1
unrepaired,215,15,15,1
unrepaired,216,8,8,1
unrepaired,217,15,15,1
unrepaired,218,15,15,1
unrepaired,219,2,2,1
unrepaired,220,10,10,1
unrepaired,221,15,15,1
unrepaired,222,1,1,1
unrepaired,223,2,2,1
unrepaired,224,6,6,1
unrepaired,225,15,15,1
unrepaired,226,15,15,1
unrepaired,227,15,15,1
unrepaired,228,15,15,1
unrepaired,229,6,6,1
unrepaired,230,2,2,1
unrepaired,231,1,1,1
unrepaired,232,15,15,1
unrepaired,233,8,8,1
unrepaired,234,6,6,1
unrepaired,235,15,15,1
unrepaired,236,6,6,1
unrepaired,237,15,15,1
unrepaired,238,14,14,1
unrepaired,239,8,8,1
unrepaired,240,2,2,1
unrepaired,241,6,6,1
unrepaired,242,6,6,1
unrepaired,243,15,15,1
unrepaired,244,10,10,1
unrepaired,245,19,19,1
unrepaired,246,15,15,1
unrepaired,247,2,2,1
unrepaired,248,1,1,1
unrepaired,249,2,2,1
unrepaired,250,2,2,1
unrepaired,251,6,6,1
unrepaired,252,15,15,1
unrepaired,253,6,6,1
unrepaired,254,6,6,1
unrepaired,255,15,15,1
unrepaired,256,10,10,1
unrepaired,257,6,6,1
unrepaired,258,2,2,1
unrepaired,259,2,2,1
unrepaired,260,10,10,1
unrepaired,261,4,4,1
unrepaired,262,6,6,1
unrepaired,263,15,15,1
unrepaired,264,6,6,1
unrepaired,265,15,15,1
unrepaired,266,19,19,1
unrepaired,267,1,1,1
unrepaired,268,1,1,1
unrepaired,269,10,10,1
unrepaired,270,1,1,1
unrepaired,271,6,6,1
unrepaired,272,6,6,1
unrepaired,273,15,15,1
unrepaired,274,2,2,1
unrepaired,275,15,15,1
unrepaired,276,15,15,1
unrepaired,277,2,2,1
unrepaired,278,2,2,1
unrepaired,279,1,1,1
unrepaired,280,6,6,1
unrepaired,281,4,4,1
unrepaired,282,6,6,1
unrepaired,283,6,6,1
unrepaired,284,6,6,1
unrepaired,285,15,15,1
unrepaired,286,15,15,1
unrepaired,287,15,15,1
unrepaired,288,15,15,1
unrepaired,289,6,6,1
unrepaired,290,2,2,1
unrepaired,291,15,15,1
unrepaired,292,6,6,1
unrepaired,293,15,15,1
unrepaired,294,6,6,1
unrepaired,295,6,6,1
unrepaired,296,2,2,1
unrepaired,297,15,15,1
unrepaired,298,2,2,1
unrepaired,299,10,10,1
unrepaired,300,15,15,1
unrepaired,301,15,15,1
unrepaired,302,15,15,1
unrepaired,303,2,2,1
unrepaired,304,6,6,1
unrepaired,305,15,15,1
unrepaired,306,6,6,1
unrepaired,307,16,16,1
unrepaired,308,15,15,1
unrepaired,309,2,2,1
unrepaired,310,2,2,1
unrepaired,311,15,15,1
unrepaired,312,15,15,1
unrepaired,313,2,2,1
unrepaired,314,6,6,1
unrepaired,315,6,6,1
unrepaired,316,15,15,1
unrepaired,317,4,4,1
unrepaired,318,8,8,1
unrepaired,319,2,2,1
unrepaired,320,2,2,1
unrepaired,321,15,15,1
unrepaired,322,2,2,1
unrepaired,323,15,15,1
unrepaired,324,15,15,1
unrepaired,325,2,2,1
unrepaired,326,15,15,1
unrepaired,327,8,8,1
unrepaired,328,6,6,1
unrepaired,329,15,15,1
unrepaired,330,1,1,1
unrepaired,331,15,15,1
unrepaired,332,2,2,1
unrepaired,333,15,15,1
unrepaired,334,6,6,1
unrepaired,335,15,15,1
unrepaired,336,2,2,1
unrepaired,337,2,2,1
unrepaired,338,15,15,1
unrepaired,339,3,3,1
unrepaired,340,2,2,1
unrepaired,341,15,15,1
unrepaired,342,6,6,1
unrepaired,343,6,6,1
unrepaired,344,15,15,1
unrepaired,345,6,6,1
unrepaired,346,2,2,1
unrepaired,347,8,8,1
unrepaired,348,6,6,1
unrepaired,349,15,15,1
unrepaired,350,6,6,1
unrepaired,351,15,15,1
unrepaired,352,6,6,1
unrepaired,353,1,1,1
unrepaired,354,2,2,1
unrepaired,355,6,6,1
unrepaired,356,19,19,1
unrepaired,357,2,2,1
unrepaired,358,15,15,1
unrepaired,359,6,6,1
unrepaired,360,15,15,1
unrepaired,361,15,15,1
unrepaired,362,15,15,1
unrepaired,363,15,15,1
unrepaired,364,15,15,1
unrepaired,365,2,2,1
unrepaired,366,6,6,1
unrepaired,367,10,10,1
unrepaired,368,10,10,1
unrepaired,369,15,15,1
unrepaired,370,15,15,1
unrepaired,371,1,1,1
unrepaired,372,6,6,1
unrepaired,373,15,15,1
unrepaired,374,15,15,1
unrepaired,375,15,15,1
unrepaired,376,2,2,1
unrepaired,377,6,6,1
unrepaired,378,4,4,1
unrepaired,379,2,2,1
unrepaired,380,15,15,1
unrepaired,381,15,15,1
unrepaired,382,8,8,1
unrepaired,383,15,15,1
unrepaired,384,8,8,1
unrepaired,385,10,10,1
unrepaired,386,6,6,1
unrepaired,387,4,4,1
unrepaired,388,6,6,1
unrepaired,389,2,2,1
unrepaired,390,2,2,1
unrepaired,391,10,10,1
unrepaired,392,18,18,1
unrepaired,393,6,6,1
unrepaired,394,15,15,1
unrepaired,395,1,1,1
unrepaired,396,2,2,1
unrepaired,397,2,2,1
unrepaired,398,15,15,1
unrepaired,399,2,2,1
unrepaired,400,15,15,1
unrepaired,401,6,6,1
unrepaired,402,2,2,1
unrepaired,403,1,1,1
unrepaired,404,6,6,1
unrepaired,405,6,6,1
unrepaired,406,2,2,1
unrepaired,407,2,2,1
unrepaired,408,15,15,1
unrepaired,409,15,15,1
unrepaired,410,15,15,1
unrepaired,411,15,15,1
unrepaired,412,15,15,1
unrepaired,413,2,2,1
unrepaired,414,4,4,1
unrepaired,415,8,8,1
unrepaired,416,4,4,1
unrepaired,417,15,15,1
unrepaired,418,15,15,1
unrepaired,419,6,6,1
unrepaired,420,15,15,1
unrepaired,421,6,6,1
unrepaired,422,19,19,1
unrepaired,423,15,15,1
unrepaired,424,14,14,1
unrepaired,425,15,15,1
unrepaired,426,15,15,1
unrepaired,427,10,10,1
unrepaired,428,6,6,1
unrepaired,429,15,15,1
unrepaired,430,2,2,1
unrepaired,431,15,15,1
unrepaired,432,15,15,1
unrepaired,433,15,15,1
unrepaired,434,2,2,1
unrepaired,435,2,2,1
unrepaired,436,15,15,1
unrepaired,437,16,16,1
unrepaired,438,6,6,1
unrepaired,439,15,15,1
unrepaired,440,15,15,1
unrepaired,441,15,15,1
unrepaired,442,15,15,1
unrepaired,443,16,16,1
unrepaired,444,15,15,1
unrepaired,445,15,15,1
unrepaired,446,15,15,1
unrepaired,447,6,6,1
unrepaired,448,2,2,1
unrepaired,449,6,6,1
unrepaired,450,15,15,1
unrepaired,451,6,6,1
unrepaired,452,15,15,1
unrepaired,453,15,15,1
unrepaired,454,15,15,1
unrepaired,455,10,10,1
unrepaired,456,2,2,1
unrepaired,457,4,4,1
unrepaired,458,2,2,1
unrepaired,459,15,15,1
unrepaired,460,15,15,1
unrepaired,461,2,2,1
unrepaired,462,15,15,1
unrepaired,463,2,2,1
unrepaired,464,1,1,1
unrepaired,465,4,4,1
unrepaired,466,5,5,1
unrepaired,467,2,2,1
unrepaired,468,15,15,1
unrepaired,469,8,8,1
unrepaired,470,6,6,1
unrepaired,471,2,2,1
unrepaired,472,15,15,1
unrepaired,473,10,10,1
unrepaired,474,6,6,1
unrepaired,475,2,2,1
unrepaired,476,6,6,1
unrepaired,477,15,15,1
unrepaired,478,15,15,1
unrepaired,479,15,15,1
unrepaired,480,6,6,1
unrepaired,481,2,2,1
unrepaired,482,8,8,1
unrepaired,483,10,10,1
unrepaired,484,15,15,1
unrepaired,485,15,15,1
unrepaired,486,4,4,1
unrepaired,487,1,1,1
unrepaired,488,6,6,1
unrepaired,489,15,15,1
unrepaired,490,6,6,1
unrepaired,491,15,15,1
unrepaired,492,6,6,1
unrepaired,493,15,15,1
unrepaired,494,15,15,1
unrepaired,495,2,2,1
unrepaired,496,15,15,1
unrepaired,497,6,6,1
unrepaired,498,6,6,1
unrepaired,499,10,10,1
unrepaired,500,15,15,1
unrepaired,501,8,8,1
unrepaired,502,2,2,1
unrepaired,503,2,2,1
unrepaired,504,15,15,1
unrepaired,505,2,2,1
unrepaired,506,15,15,1
unrepaired,507,4,4,1
unrepaired,508,15,15,1
unrepaired,509,2,2,1
unrepaired,510,15,15,1
unrepaired,511,15,15,1
unrepaired,512,19,19,1
unrepaired,513,15,15,1
unrepaired,514,15,15,1
unrepaired,515,1,1,1
unrepaired,516,2,2,1
unrepaired,517,15,15,1
unrepaired,518,15,15,1
unrepaired,519,6,6,1
unrepaired,520,2,2,1
unrepaired,521,6,6,1
unrepaired,522,2,2,1
unrepaired,523,6,6,1
unrepaired,524,6,6,1
unrepaired,525,15,15,1
unrepaired,526,15,15,1
unrepaired,527,2,2,1
unrepaired,528,10,10,1
unrepaired,529,10,10,1
unrepaired,530,6,6,1
unrepaired,531,4,4,1
unrepaired,532,15,15,1
unrepaired,533,15,15,1
unrepaired,534,15,15,1
unrepaired,535,15,15,1
unrepaired,536,2,2,1
unrepaired,537,2,2,1
unrepaired,538,10,10,1
unrepaired,539,6,6,1
unrepaired,540,6,6,1
unrepaired,541,8,8,1
unrepaired,542,2,2,1
unrepaired,543,1,1,1
unrepaired,544,6,6,1
unrepaired,545,15,15,1
unrepaired,546,1,1,1
unrepaired,547,2,2,1
unrepaired,548,2,2,1
unrepaired,549,2,2,1
unrepaired,550,2,2,1
unrepaired,551,10,10,1
unrepaired,552,2,2,1
unrepaired,553,15,15,1
unrepaired,554,15,15,1
unrepaired,555,15,15,1
unrepaired,556,15,15,1
unrepaired,557,15,15,1
unrepaired,558,15,15,1
unrepaired,559,2,2,1
unrepaired,560,6,6,1
unrepaired,561,10,10,1
unrepaired,562,6,6,1
unrepaired,563,15,15,1
unrepaired,564,2,2,1
unrepaired,565,15,15,1
unrepaired,566,15,15,1
unrepaired,567,9,9,1
unrepaired,568,15,15,1
unrepaired,569,2,2,1
unrepaired,570,15,15,1
unrepaired,571,15,15,1
unrepaired,572,15,15,1
unrepaired,573,2,2,1
unrepaired,574,6,6,1
unrepaired,575,2,2,1
unrepaired,576,16,16,1
unrepaired,577,10,10,1
unrepaired,578,6,6,1
unrepaired,579,16,16,1
unrepaired,580,8,8,1
unrepaired,581,6,6,1
unrepaired,582,6,6,1
unrepaired,583,2,2,1
unrepaired,584,6,6,1
unrepaired,585,15,15,1
unrepaired,586,2,2,1
unrepaired,587,2,2,1
unrepaired,588,2,2,1
unrepaired,589,15,15,1
unrepaired,590,8,8,1
unrepaired,591,6,6,1
unrepaired,592,15,15,1
unrepaired,593,6,6,1
unrepaired,594,15,15,1
unrepaired,595,15,15,1
unrepaired,596,8,8,1
unrepaired,597,2,2,1
unrepaired,598,1,1,1
unrepaired,599,2,2,1
unrepaired,600,6,6,1
unrepaired,601,10,10,1
unrepaired,602,2,2,1
unrepaired,603,15,15,1
unrepaired,604,6,6,1
unrepaired,605,6,6,1
unrepaired,606,15,15,1
unrepaired,607,2,2,1
unrepaired,608,15,15,1
unrepaired,609,15,15,1
unrepaired,610,6,6,1
unrepaired,611,6,6,1
unrepaired,612,15,15,1
unrepaired,613,15,15,1
unrepaired,614,15,15,1
unrepaired,615,2,2,1
unrepaired,616,15,15,1
unrepaired,617,1,1,1
unrepaired,618,6,6,1
unrepaired,619,2,2,1
unrepaired,620,15,15,1
unrepaired,621,15,15,1
unrepaired,622,2,2,1
unrepaired,623,2,2,1
unrepaired,624,6,6,1
unrepaired,625,6,6,1
unrepaired,626,15,15,1
unrepaired,627,2,2,1
unrepaired,628,19,19,1
unrepaired,629,16,16,1
unrepaired,630,4,4,1
unrepaired,631,2,2,1
unrepaired,632,15,15,1
unrepaired,633,6,6,1
unrepaired,634,6,6,1
unrepaired,635,2,2,1
unrepaired,636,2,2,1
unrepaired,637,2,2,1
unrepaired,638,2,2,1
unrepaired,639,5,5,1
unrepaired,640,15,15,1
unrepaired,641,15,15,1
unrepaired,642,15,15,1
unrepaired,643,6,6,1
unrepaired,644,2,2,1
unrepaired,645,15,15,1
unrepaired,646,6,6,1
unrepaired,647,2,2,1
unrepaired,648,10,10,1
unrepaired,649,5,5,1
unrepaired,650,15,15,1
unrepaired,651,15,15,1
unrepaired,652,15,15,1
unrepaired,653,2,2,1
unrepaired,654,8,8,1
unrepaired,655,1,1,1
unrepaired,656,4,4,1
unrepaired,657,1,1,1
unrepaired,658,6,6,1
unrepaired,659,15,15,1
unrepaired,660,6,6,1
unrepaired,661,6,6,1
unrepaired,662,15,15,1
unrepaired,663,4,4,1
unrepaired,664,10,10,1
unrepaired,665,10,10,1
unrepaired,666,15,15,1
unrepaired,667,15,15,1
unrepaired,668,2,2,1
unrepaired,669,15,15,1
unrepaired,670,2,2,1
unrepaired,671,2,2,1
unrepaired,672,2,2,1
unrepaired,673,19,19,1
unrepaired,674,2,2,1
unrepaired,675,2,2,1
unrepaired,676,2,2,1
unrepaired,677,2,2,1
unrepaired,678,6,6,1
unrepaired,679,2,2,1
unrepaired,680,4,4,1
unrepaired,681,15,15,1
unrepaired,682,2,2,1
unrepaired,683,4,4,1
unrepaired,684,15,15,1
unrepaired,685,2,2,1
unrepaired,686,15,15,1
unrepaired,687,6,6,1
unrepaired,688,8,8,1
unrepaired,689,2,2,1
unrepaired,690,10,10,1
unrepaired,691,15,15,1
unrepaired,692,6,6,1
unrepaired,693,2,2,1
unrepaired,694,15,15,1
unrepaired,695,15,15,1
unrepaired,696,15,15,1
unrepaired,697,15,15,1
unrepaired,698,19,19,1
unrepaired,699,15,15,1
unrepaired,700,2,2,1
unrepaired,701,2,2,1
unrepaired,702,2,2,1
unrepaired,703,15,15,1
unrepaired,704,6,6,1
unrepaired,705,10,10,1
unrepaired,706,10,10,1
unrepaired,707,2,2,1
unrepaired,708,15,15,1
unrepaired,709,15,15,1
unrepaired,710,15,15,1
unrepaired,711,6,6,1
unrepaired,712,6,6,1
unrepaired,713,15,15,1
unrepaired,714,6,6,1
unrepaired,715,15,15,1
unrepaired,716,1,1,1
unrepaired,717,15,15,1
unrepaired,718,4,4,1
unrepaired,719,2,2,1
unrepaired,720,10,10,1
unrepaired,721,15,15,1
unrepaired,722,2,2,1
unrepaired,723,2,2,1
unrepaired,724,2,2,1
unrepaired,725,10,10,1
unrepaired,726,17,17,1
unrepaired,727,2,2,1
unrepaired,728,6,6,1
unrepaired,729,15,15,1
unrepaired,730,4,4,1
unrepaired,731,2,2,1
unrepaired,732,2,2,1
unrepaired,733,6,6,1
unrepaired,734,15,15,1
unrepaired,735,6,6,1
unrepaired,736,6,6,1
unrepaired,737,15,15,1
unrepaired,738,15,15,1
unrepaired,739,10,10,1
unrepaired,740,2,2,1
unrepaired,741,2,2,1
unrepaired,742,15,15,1
unrepaired,743,15,15,1
unrepaired,744,2,2,1
unrepaired,745,10,10,1
unrepaired,746,15,15,1
unrepaired,747,6,6,1
unrepaired,748,15,15,1
unrepaired,749,10,10,1
unrepaired,750,10,10,1
unrepaired,751,2,2,1
unrepaired,752,2,2,1
unrepaired,753,15,15,1
unrepaired,754,15,15,1
unrepaired,755,2,2,1
unrepaired,756,1,1,1
unrepaired,757,2,2,1
unrepaired,758,15,15,1
unrepaired,759,15,15,1
unrepaired,760,15,15,1
unrepaired,761,2,2,1
unrepaired,762,6,6,1
unrepaired,763,15,15,1
unrepaired,764,15,15,1
unrepaired,765,2,2,1
unrepaired,766,2,2,1
unrepaired,767,2,2,1
unrepaired,768,2,2,1
unrepaired,769,6,6,1
unrepaired,770,15,15,1
unrepaired,771,15,15,1
unrepaired,772,6,6,1
unrepaired,773,15,15,1
unrepaired,774,2,2,1
unrepaired,775,6,6,1
unrepaired,776,2,2,1
unrepaired,777,2,2,1
unrepaired,778,2,2,1
unrepaired,779,2,2,1
unrepaired,780,15,15,1
unrepaired,781,1,1,1
unrepaired,782,15,15,1
unrepaired,783,15,15,1
unrepaired,784,4,4,1
unrepaired,785,10,10,1
unrepaired,786,10,10,1
unrepaired,787,6,6,1
unrepaired,788,5,5,1
unrepaired,789,15,15,1
unrepaired,790,6,6,1
unrepaired,791,2,2,1
unrepaired,792,15,15,1
unrepaired,793,15,15,1
unrepaired,794,15,15,1
unrepaired,795,15,15,1
unrepaired,796,2,2,1
unrepaired,797,2,2,1
unrepaired,798,19,19,1
unrepaired,799,6,6,1
unrepaired,800,15,15,1
unrepaired,801,6,6,1
unrepaired,802,15,15,1
unrepaired,803,2,2,1
unrepaired,804,10,10,1
unrepaired,805,15,15,1
unrepaired,806,10,10,1
unrepaired,807,2,2,1
unrepaired,808,16,16,1
unrepaired,809,6,6,1
unrepaired,810,6,6,1
unrepaired,811,2,2,1
unrepaired,812,2,2,1
unrepaired,813,15,15,1
unrepaired,814,2,2,1
unrepaired,815,6,6,1
unrepaired,816,15,15,1
unrepaired,817,15,15,1
unrepaired,818,15,15,1
unrepaired,819,4,4,1
unrepaired,820,2,2,1
unrepaired,821,2,2,1
unrepaired,822,15,15,1
unrepaired,823,1,1,1
unrepaired,824,6,6,1
unrepaired,825,10,10,1
unrepaired,826,6,6,1
unrepaired,827,2,2,1
unrepaired,828,15,15,1
unrepaired,829,19,19,1
unrepaired,830,1,1,1
unrepaired,831,6,6,1
unrepaired,832,15,15,1
unrepaired,833,15,15,1
unrepaired,834,15,15,1
unrepaired,835,1,1,1
unrepaired,836,6,6,1
unrepaired,837,19,19,1
unrepaired,838,2,2,1
unrepaired,839,10,10,1
unrepaired,840,5,5,1
unrepaired,841,6,6,1
unrepaired,842,5,5,1
unrepaired,843,15,15,1
unrepaired,844,15,15,1
unrepaired,845,19,19,1
unrepaired,846,2,2,1
unrepaired,847,6,6,1
unrepaired,848,2,2,1
unrepaired,849,15,15,1
unrepaired,850,6,6,1
unrepaired,851,6,6,1
unrepaired,852,19,19,1
unrepaired,853,15,15,1
unrepaired,854,10,10,1
unrepaired,855,2,2,1
unrepaired,856,2,2,1
unrepaired,857,2,2,1
unrepaired,858,15,15,1
unrepaired,859,2,2,1
unrepaired,860,2,2,1
