sample_index,variant,device_prediction
110,unrepaired,2
111,unrepaired,15
112,unrepaired,15
113,unrepaired,15
114,unrepaired,15
115,unrepaired,15
116,unrepaired,15
117,unrepaired,2
118,unrepaired,6
119,unrepaired,8
120,unrepaired,15
121,unrepaired,15
122,unrepaired,15
123,unrepaired,15
124,unrepaired,15
125,unrepaired,15
126,unrepaired,15
127,unrepaired,2
128,unrepaired,2
129,unrepaired,2
130,unrepaired,2
131,unrepaired,2
132,unrepaired,15
133,unrepaired,15
134,unrepaired,15
135,unrepaired,15
136,unrepaired,15
137,unrepaired,2
138,unrepaired,6
139,unrepaired,15
140,unrepaired,2
141,unrepaired,15
142,unrepaired,15
143,unrepaired,6
144,unrepaired,2
145,unrepaired,15
146,unrepaired,15
147,unrepaired,6
148,unrepaired,15
149,unrepaired,2
150,unrepaired,2
151,unrepaired,15
152,unrepaired,2
153,unrepaired,15
154,unrepaired,2
155,unrepaired,15
156,unrepaired,6
157,unrepaired,2
158,unrepaired,2
159,unrepaired,2
160,unrepaired,2
161,unrepaired,2
162,unrepaired,15
163,unrepaired,15
164,unrepaired,15
165,unrepaired,15
166,unrepaired,6
167,unrepaired,15
168,unrepaired,15
169,unrepaired,15
170,unrepaired,5
171,unrepaired,15
172,unrepaired,15
173,unrepaired,5
174,unrepaired,2
175,unrepaired,15
176,unrepaired,15
177,unrepaired,15
178,unrepaired,15
179,unrepaired,15
180,unrepaired,6
181,unrepaired,15
182,unrepaired,6
183,unrepaired,6
184,unrepaired,15
185,unrepaired,15
186,unrepaired,2
187,unrepaired,10
188,unrepaired,2
189,unrepaired,15
190,unrepaired,2
191,unrepaired,15
192,unrepaired,15
193,unrepaired,2
194,unrepaired,8
195,unrepaired,6
196,unrepaired,15
197,unrepaired,15
198,unrepaired,2
199,unrepaired,2
200,unrepaired,15
201,unrepaired,15
202,unrepaired,15
203,unrepaired,6
204,unrepaired,15
205,unrepaired,15
206,unrepaired,2
207,unrepaired,15
208,unrepaired,2
209,unrepaired,15
210,unrepaired,6
211,unrepaired,15
212,unrepaired,2
213,unrepaired,2
214,unrepaired,15
215,unrepaired,15
216,unrepaired,15
217,unrepaired,15
218,unrepaired,15
219,unrepaired,15
220,unrepaired,15
221,unrepaired,15
222,unrepaired,15
223,unrepaired,6
224,unrepaired,6
225,unrepaired,15
226,unrepaired,15
227,unrepaired,15
228,unrepaired,15
229,unrepaired,6
230,unrepaired,2
231,unrepaired,2
232,unrepaired,2
233,unrepaired,8
234,unrepaired,6
235,unrepaired,15
236,unrepaired,6
237,unrepaired,15
238,unrepaired,15
239,unrepaired,2
240,unrepaired,15
241,unrepaired,6
242,unrepaired,6
243,unrepaired,15
244,unrepaired,15
245,unrepaired,15
246,unrepaired,15
247,unrepaired,18
248,unrepaired,2
249,unrepaired,2
250,unrepaired,2
251,unrepaired,6
252,unrepaired,15
253,unrepaired,2
254,unrepaired,6
255,unrepaired,15
256,unrepaired,15
257,unrepaired,6
258,unrepaired,15
259,unrepaired,15
260,unrepaired,2
261,unrepaired,15
262,unrepaired,15
263,unrepaired,15
264,unrepaired,18
265,unrepaired,15
266,unrepaired,15
267,unrepaired,2
268,unrepaired,15
269,unrepaired,15
270,unrepaired,15
271,unrepaired,15
272,unrepaired,2
273,unrepaired,15
274,unrepaired,15
275,unrepaired,15
276,unrepaired,15
277,unrepaired,15
278,unrepaired,2
279,unrepaired,2
280,unrepaired,6
281,unrepaired,15
282,unrepaired,15
283,unrepaired,15
284,unrepaired,6
285,unrepaired,15
286,unrepaired,15
287,unrepaired,15
288,unrepaired,15
289,unrepaired,6
290,unrepaired,2
291,unrepaired,15
292,unrepaired,15
293,unrepaired,15
294,unrepaired,6
295,unrepaired,6
296,unrepaired,2
297,unrepaired,15
298,unrepaired,15
299,unrepaired,15
300,unrepaired,15
301,unrepaired,15
302,unrepaired,15
303,unrepaired,2
304,unrepaired,6
305,unrepaired,15
306,unrepaired,6
307,unrepaired,6
308,unrepaired,15
309,unrepaired,2
310,unrepaired,2
311,unrepaired,15
312,unrepaired,15
313,unrepaired,2
314,unrepaired,15
315,unrepaired,6
316,unrepaired,15
317,unrepaired,15
318,unrepaired,2
319,unrepaired,2
320,unrepaired,2
321,unrepaired,15
322,unrepaired,2
323,unrepaired,15
324,unrepaired,15
325,unrepaired,2
326,unrepaired,15
327,unrepaired,15
328,unrepaired,15
329,unrepaired,15
330,unrepaired,15
331,unrepaired,15
332,unrepaired,2
333,unrepaired,15
334,unrepaired,6
335,unrepaired,15
336,unrepaired,2
337,unrepaired,2
338,unrepaired,15
339,unrepaired,2
340,unrepaired,2
341,unrepaired,15
342,unrepaired,15
343,unrepaired,8
344,unrepaired,15
345,unrepaired,2
346,unrepaired,2
347,unrepaired,8
348,unrepaired,6
349,unrepaired,15
350,unrepaired,15
351,unrepaired,15
352,unrepaired,6
353,unrepaired,15
354,unrepaired,2
355,unrepaired,6
356,unrepaired,15
357,unrepaired,15
358,unrepaired,15
359,unrepaired,15
360,unrepaired,15
361,unrepaired,15
362,unrepaired,15
363,unrepaired,15
364,unrepaired,15
365,unrepaired,15
366,unrepaired,6
367,unrepaired,15
368,unrepaired,2
369,unrepaired,18
370,unrepaired,15
371,unrepaired,2
372,unrepaired,6
373,unrepaired,15
374,unrepaired,15
375,unrepaired,15
376,unrepaired,15
377,unrepaired,6
378,unrepaired,15
379,unrepaired,15
380,unrepaired,15
381,unrepaired,15
382,unrepaired,15
383,unrepaired,15
384,unrepaired,15
385,unrepaired,2
386,unrepaired,6
387,unrepaired,15
388,unrepaired,15
389,unrepaired,2
390,unrepaired,15
391,unrepaired,15
392,unrepaired,18
393,unrepaired,6
394,unrepaired,15
395,unrepaired,2
396,unrepaired,2
397,unrepaired,2
398,unrepaired,15
399,unrepaired,2
400,unrepaired,15
401,unrepaired,8
402,unrepaired,8
403,unrepaired,15
404,unrepaired,6
405,unrepaired,6
406,unrepaired,15
407,unrepaired,15
408,unrepaired,15
409,unrepaired,15
410,unrepaired,15
411,unrepaired,15
412,unrepaired,15
413,unrepaired,15
414,unrepaired,15
415,unrepaired,15
416,unrepaired,15
417,unrepaired,15
418,unrepaired,15
419,unrepaired,6
420,unrepaired,2
421,unrepaired,6
422,unrepaired,15
423,unrepaired,15
424,unrepaired,2
425,unrepaired,15
426,unrepaired,15
427,unrepaired,15
428,unrepaired,6
429,unrepaired,15
430,unrepaired,15
431,unrepaired,15
432,unrepaired,15
433,unrepaired,15
434,unrepaired,2
435,unrepaired,15
436,unrepaired,15
437,unrepaired,17
438,unrepaired,6
439,unrepaired,15
440,unrepaired,15
441,unrepaired,15
442,unrepaired,15
443,unrepaired,6
444,unrepaired,15
445,unrepaired,15
446,unrepaired,15
447,unrepaired,15
448,unrepaired,2
449,unrepaired,6
450,unrepaired,15
451,unrepaired,6
452,unrepaired,15
453,unrepaired,15
454,unrepaired,15
455,unrepaired,15
456,unrepaired,2
457,unrepaired,15
458,unrepaired,2
459,unrepaired,15
460,unrepaired,15
461,unrepaired,15
462,unrepaired,15
463,unrepaired,15
464,unrepaired,15
465,unrepaired,4
466,unrepaired,18
467,unrepaired,2
468,unrepaired,15
469,unrepaired,2
470,unrepaired,6
471,unrepaired,15
472,unrepaired,15
473,unrepaired,15
474,unrepaired,6
475,unrepaired,2
476,unrepaired,6
477,unrepaired,15
478,unrepaired,15
479,unrepaired,15
480,unrepaired,6
481,unrepaired,2
482,unrepaired,8
483,unrepaired,15
484,unrepaired,15
485,unrepaired,15
486,unrepaired,15
487,unrepaired,15
488,unrepaired,6
489,unrepaired,15
490,unrepaired,6
491,unrepaired,15
492,unrepaired,6
493,unrepaired,15
494,unrepaired,15
495,unrepaired,15
496,unrepaired,2
497,unrepaired,6
498,unrepaired,6
499,unrepaired,2
500,unrepaired,15
501,unrepaired,15
502,unrepaired,2
503,unrepaired,15
504,unrepaired,15
505,unrepaired,2
506,unrepaired,15
507,unrepaired,15
508,unrepaired,15
509,unrepaired,2
510,unrepaired,15
511,unrepaired,15
512,unrepaired,15
513,unrepaired,15
514,unrepaired,15
515,unrepaired,2
516,unrepaired,2
517,unrepaired,15
518,unrepaired,15
519,unrepaired,15
520,unrepaired,15
521,unrepaired,6
522,unrepaired,15
523,unrepaired,6
524,unrepaired,2
525,unrepaired,15
526,unrepaired,15
527,unrepaired,2
528,unrepaired,15
529,unrepaired,15
530,unrepaired,15
531,unrepaired,5
532,unrepaired,15
533,unrepaired,15
534,unrepaired,15
535,unrepaired,15
536,unrepaired,2
537,unrepaired,2
538,unrepaired,15
539,unrepaired,2
540,unrepaired,6
541,unrepaired,2
542,unrepaired,2
543,unrepaired,15
544,unrepaired,6
545,unrepaired,15
546,unrepaired,2
547,unrepaired,15
548,unrepaired,15
549,unrepaired,15
550,unrepaired,6
551,unrepaired,15
552,unrepaired,2
553,unrepaired,15
554,unrepaired,15
555,unrepaired,15
556,unrepaired,15
557,unrepaired,15
558,unrepaired,15
559,unrepaired,15
560,unrepaired,15
561,unrepaired,15
562,unrepaired,6
563,unrepaired,15
564,unrepaired,18
565,unrepaired,15
566,unrepaired,15
567,unrepaired,15
568,unrepaired,2
569,unrepaired,2
570,unrepaired,15
571,unrepaired,2
572,unrepaired,15
573,unrepaired,2
574,unrepaired,6
575,unrepaired,15
576,unrepaired,15
577,unrepaired,15
578,unrepaired,6
579,unrepaired,6
580,unrepaired,15
581,unrepaired,15
582,unrepaired,15
583,unrepaired,2
584,unrepaired,6
585,unrepaired,15
586,unrepaired,2
587,unrepaired,2
588,unrepaired,15
589,unrepaired,15
590,unrepaired,2
591,unrepaired,15
592,unrepaired,15
593,unrepaired,6
594,unrepaired,15
595,unrepaired,15
596,unrepaired,2
597,unrepaired,15
598,unrepaired,15
599,unrepaired,2
600,unrepaired,15
601,unrepaired,15
602,unrepaired,2
603,unrepaired,2
604,unrepaired,6
605,unrepaired,2
606,unrepaired,15
607,unrepaired,15
608,unrepaired,15
609,unrepaired,15
610,unrepaired,15
611,unrepaired,6
612,unrepaired,15
613,unrepaired,15
614,unrepaired,15
615,unrepaired,15
616,unrepaired,15
617,unrepaired,15
618,unrepaired,6
619,unrepaired,2
620,unrepaired,2
621,unrepaired,15
622,unrepaired,15
623,unrepaired,15
624,unrepaired,6
625,unrepaired,2
626,unrepaired,15
627,unrepaired,2
628,unrepaired,15
629,unrepaired,6
630,unrepaired,15
631,unrepaired,2
632,unrepaired,15
633,unrepaired,2
634,unrepaired,6
635,unrepaired,15
636,unrepaired,2
637,unrepaired,2
638,unrepaired,2
639,unrepaired,18
640,unrepaired,15
641,unrepaired,15
642,unrepaired,15
643,unrepaired,6
644,unrepaired,2
645,unrepaired,15
646,unrepaired,6
647,unrepaired,2
648,unrepaired,2
649,unrepaired,5
650,unrepaired,15
651,unrepaired,2
652,unrepaired,15
653,unrepaired,2
654,unrepaired,2
655,unrepaired,15
656,unrepaired,15
657,unrepaired,2
658,unrepaired,6
659,unrepaired,15
660,unrepaired,6
661,unrepaired,6
662,unrepaired,15
663,unrepaired,15
664,unrepaired,15
665,unrepaired,2
666,unrepaired,15
667,unrepaired,2
668,unrepaired,2
669,unrepaired,15
670,unrepaired,15
671,unrepaired,15
672,unrepaired,18
673,unrepaired,15
674,unrepaired,2
675,unrepaired,2
676,unrepaired,15
677,unrepaired,2
678,unrepaired,6
679,unrepaired,2
680,unrepaired,15
681,unrepaired,15
682,unrepaired,2
683,unrepaired,15
684,unrepaired,15
685,unrepaired,2
686,unrepaired,15
687,unrepaired,6
688,unrepaired,8
689,unrepaired,15
690,unrepaired,15
691,unrepaired,15
692,unrepaired,6
693,unrepaired,15
694,unrepaired,15
695,unrepaired,15
696,unrepaired,15
697,unrepaired,15
698,unrepaired,15
699,unrepaired,15
700,unrepaired,15
701,unrepaired,15
702,unrepaired,2
703,unrepaired,15
704,unrepaired,6
705,unrepaired,15
706,unrepaired,15
707,unrepaired,2
708,unrepaired,15
709,unrepaired,15
710,unrepaired,15
711,unrepaired,6
712,unrepaired,6
713,unrepaired,15
714,unrepaired,2
715,unrepaired,15
716,unrepaired,15
717,unrepaired,15
718,unrepaired,15
719,unrepaired,15
720,unrepaired,15
721,unrepaired,15
722,unrepaired,2
723,unrepaired,15
724,unrepaired,2
725,unrepaired,15
726,unrepaired,15
727,unrepaired,15
728,unrepaired,2
729,unrepaired,15
730,unrepaired,15
731,unrepaired,15
732,unrepaired,2
733,unrepaired,6
734,unrepaired,15
735,unrepaired,6
736,unrepaired,6
737,unrepaired,15
738,unrepaired,15
739,unrepaired,15
740,unrepaired,2
741,unrepaired,2
742,unrepaired,15
743,unrepaired,15
744,unrepaired,15
745,unrepaired,15
746,unrepaired,15
747,unrepaired,6
748,unrepaired,15
749,unrepaired,15
750,unrepaired,2
751,unrepaired,2
752,unrepaired,15
753,unrepaired,15
754,unrepaired,15
755,unrepaired,15
756,unrepaired,2
757,unrepaired,15
758,unrepaired,15
759,unrepaired,15
760,unrepaired,15
761,unrepaired,15
762,unrepaired,6
763,unrepaired,15
764,unrepaired,15
765,unrepaired,2
766,unrepaired,15
767,unrepaired,15
768,unrepaired,2
769,unrepaired,15
770,unrepaired,15
771,unrepaired,15
772,unrepaired,6
773,unrepaired,15
774,unrepaired,15
775,unrepaired,6
776,unrepaired,2
777,unrepaired,15
778,unrepaired,6
779,unrepaired,2
780,unrepaired,15
781,unrepaired,15
782,unrepaired,15
783,unrepaired,15
784,unrepaired,15
785,unrepaired,15
786,unrepaired,15
787,unrepaired,6
788,unrepaired,18
789,unrepaired,15
790,unrepaired,15
791,unrepaired,15
792,unrepaired,15
793,unrepaired,2
794,unrepaired,15
795,unrepaired,15
796,unrepaired,15
797,unrepaired,15
798,unrepaired,15
799,unrepaired,6
800,unrepaired,15
801,unrepaired,6
802,unrepaired,15
803,unrepaired,2
804,unrepaired,2
805,unrepaired,15
806,unrepaired,15
807,unrepaired,2
808,unrepaired,6
809,unrepaired,6
810,unrepaired,15
811,unrepaired,15
812,unrepaired,15
813,unrepaired,15
814,unrepaired,18
815,unrepaired,6
816,unrepaired,15
817,unrepaired,15
818,unrepaired,15
819,unrepaired,15
820,unrepaired,15
821,unrepaired,2
822,unrepaired,15
823,unrepaired,10
824,unrepaired,6
825,unrepaired,15
826,unrepaired,6
827,unrepaired,2
828,unrepaired,15
829,unrepaired,2
830,unrepaired,15
831,unrepaired,6
832,unrepaired,15
833,unrepaired,15
834,unrepaired,15
835,unrepaired,2
836,unrepaired,2
837,unrepaired,15
838,unrepaired,2
839,unrepaired,15
840,unrepaired,5
841,unrepaired,6
842,unrepaired,5
843,unrepaired,15
844,unrepaired,15
845,unrepaired,15
846,unrepaired,2
847,unrepaired,6
848,unrepaired,2
849,unrepaired,15
850,unrepaired,6
851,unrepaired,2
852,unrepaired,15
853,unrepaired,15
854,unrepaired,2
855,unrepaired,2
856,unrepaired,2
857,unrepaired,2
858,unrepaired,15
859,unrepaired,15
860,unrepaired,2
